-71.42	10.33
-71.08	9.75
-71.08	9.17
-71.67	9
-71.75	9.42
-72	9.75
-71.75	10.25
-71.5	10.58
-71.67	11
-71.92	11.5
-71.42	11.67
-71.17	12.08
-71.33	12.33
-71.67	12.42
-72	12.17
-72.25	11.83
-72.67	11.67
-73	11.42
-73.5	11.17
-74.17	11.25
-74.42	10.92
-74.83	11
-75.25	10.83
-75.5	10.5
-75.58	10
-75.58	9.5
-76	9.42
-76.25	9
-76.75	8.58
-76.75	7.83
-77.17	8.33
-77.5	8.67
-77.83	9
-78.25	9.33
-78.67	9.42
-79.08	9.58
-79.58	9.58
-79.83	9.25
-80.33	9.08
-80.83	8.92
-81.42	8.75
-81.75	9
-82.17	9
-82.33	9.42
-82.75	9.67
-83.17	10
-83.42	10.42
-83.67	10.83
-83.83	11.25
-83.67	11.67
-83.67	12.17
-83.5	12.75
-83.5	13.25
-83.5	13.83
-83.25	14.25
-83.25	15
-83.42	15.17
-83.83	15.33
-83.83	15.33
-84.25	15.75
-84.67	15.83
-85	15.92
-85.5	15.83
-86	15.92
-86.5	15.75
-87	15.67
-87.58	15.83
-88.17	15.58
-88.58	15.83
-89	16
-88.5	16.33
-88.25	17
-88.25	17.5
-88.17	18.33
-87.92	17.92
-87.67	18.42
-87.58	19
-87.5	19.5
-87.42	20
-87.25	20.5
-86.83	20.92
-86.83	21.33
-87.08	21.5
-87.58	21.5
-88	21.58
-88.5	21.5
-89	21.33
-89.5	21.25
-90	21.17
-90.33	21
-90.42	20.42
-90.5	20
-90.67	19.67
-90.67	19.25
-91	19.08
-91.33	18.83
-91.25	18.58
-91.83	18.42
-91.83	18.58
-92.42	18.67
-93	18.42
-93.58	18.33
-94.17	18.17
-94.5	18.17
-94.83	18.5
-95.33	18.67
-95.83	18.83
-96.17	19.25
-96.42	19.67
-96.67	20.17
-97	20.5
-97.25	20.83
-97.42	21.25
-97.25	21.58
-97.75	21.92
-97.92	22.42
-97.75	22.83
-97.75	23.33
-97.75	23.83
-97.75	24.33
-97.58	24.83
-97.42	25.33
-97.17	25.75
-97.25	26.17
-97.25	26.67
-97.42	27.17
-97.33	27.67
-97	28
-96.5	28.33
-96	28.67
-95.5	28.75
-95.17	29
-94.83	29.25
-95.08	29.67
-94.75	29.83
-94.75	29.42
-94.25	29.67
-93.83	29.75
-93.25	29.83
-92.75	29.67
-92.25	29.58
-91.83	29.83
-91.33	29.5
-91.25	29.17
-90.75	29.08
-90.17	29.17
-89.83	29.33
-89.5	29.25
-89.25	29
-89.08	29.17
-89.58	29.5
-89.58	29.67
-89.33	29.83
-89.25	30.08
-89.67	30.08
-90.08	30
-90.42	30.08
-90.42	30.08
-90.17	30.5
-89.67	30.25
-89.17	30.5
-88.75	30.5
-88.25	30.42
-88	30.67
-87.83	30.33
-87.33	30.33
-86.83	30.42
-86.33	30.5
-86	30.25
-85.5	30.08
-85.33	29.67
-84.83	29.75
-84.42	30
-83.92	30.08
-83.5	29.75
-83.08	29.17
-82.83	29.08
-82.67	28.58
-82.75	28.17
-82.75	27.83
-82.42	27.92
-82.58	27.42
-82.5	27.08
-82.17	26.75
-81.92	26.33
-81.67	25.83
-81.25	25.5
-81.08	25.08
-80.67	25.17
-80.42	25.33
-80.17	25.83
-80.08	26.42
-80.08	27
-80.33	27.58
-80.58	28.17
-80.58	28.5
-80.92	29
-81.08	29.5
-81.33	30
-81.42	30.5
-81.5	31
-81.25	31.5
-81	32
-80.5	32.42
-80	32.67
-79.5	33
-79.17	33.33
-78.92	33.67
-78.42	33.92
-78	34
-77.58	34.33
-77.17	34.67
